consumer,consumerCat,kind,providerAssembly,providerCat,type,member,count,intraSuite
ACT.Hojoring.Updater,Hojoring,Type,ACT.Hojoring.Common,Hojoring,ACT.Hojoring.Common.Hojoring,,1,True
ACT.SpecialSpellTimer,Hojoring,Type,ACT.Hojoring.Updater,Hojoring,ACT.Hojoring.AtomicUpdater,,1,True
ACT.SpecialSpellTimer,Hojoring,Method,ACT.Hojoring.Updater,Hojoring,ACT.Hojoring.AtomicUpdater,Apply,1,True
ACT.SpecialSpellTimer,Hojoring,Type,ACT.SpecialSpellTimer.Core,Hojoring,ACT.SpecialSpellTimer.PluginCore,,1,True
ACT.SpecialSpellTimer,Hojoring,Method,ACT.SpecialSpellTimer.Core,Hojoring,ACT.SpecialSpellTimer.PluginCore,DeInitPluginCore,1,True
ACT.SpecialSpellTimer,Hojoring,Method,ACT.SpecialSpellTimer.Core,Hojoring,ACT.SpecialSpellTimer.PluginCore,Free,1,True
ACT.SpecialSpellTimer,Hojoring,Method,ACT.SpecialSpellTimer.Core,Hojoring,ACT.SpecialSpellTimer.PluginCore,InitPluginCore,1,True
ACT.SpecialSpellTimer,Hojoring,Method,ACT.SpecialSpellTimer.Core,Hojoring,ACT.SpecialSpellTimer.PluginCore,Initialize,1,True
ACT.SpecialSpellTimer,Hojoring,Method,ACT.SpecialSpellTimer.Core,Hojoring,ACT.SpecialSpellTimer.PluginCore,get_Instance,1,True
ACT.SpecialSpellTimer,Hojoring,Type,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.ActGlobals,,1,False
ACT.SpecialSpellTimer,Hojoring,Field,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.ActGlobals,oFormActMain,1,False
ACT.SpecialSpellTimer,Hojoring,Type,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.ActPluginData,,1,False
ACT.SpecialSpellTimer,Hojoring,Field,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.ActPluginData,pluginFile,1,False
ACT.SpecialSpellTimer,Hojoring,Type,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.FormActMain,,1,False
ACT.SpecialSpellTimer,Hojoring,Method,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.FormActMain,PluginGetSelfData,1,False
ACT.SpecialSpellTimer,Hojoring,Type,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.IActPluginV1,,1,False
ACT.SpecialSpellTimer,Hojoring,Method,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.IActPluginV1,DeInitPlugin,1,False
ACT.SpecialSpellTimer,Hojoring,Method,Advanced Combat Tracker,ACT,Advanced_Combat_Tracker.IActPluginV1,InitPlugin,1,False
ACT.SpecialSpellTimer,Hojoring,Type,FFXIV.Framework,Hojoring,FFXIV.Framework.Common.DirectoryHelper,,1,True
ACT.SpecialSpellTimer,Hojoring,Field,FFXIV.Framework,Hojoring,FFXIV.Framework.Common.DirectoryHelper,GetPluginRootDirectoryDelegate,1,True
ACT.SpecialSpellTimer,Hojoring,Type,FFXIV.Framework,Hojoring,GetPluginRootDirectory,,1,True
ACT.SpecialSpellTimer,Hojoring,Method,FFXIV.Framework,Hojoring,GetPluginRootDirectory,.ctor,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Type,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.DynamicObject,,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.DynamicObject,ClearZoneGlobal,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Type,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.ITimelineScript,,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Type,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.NullHtmlEncoder,,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Type,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineColumn,,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineColumn,.ctor,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineColumn,get_IsKey,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineColumn,get_Name,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineColumn,get_Value,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Type,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineRazorModel,,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineRazorModel,UpdateCurrentTimelineFile,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineRazorModel,get_Instance,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineRazorModel,get_SyncTTS,1,True
ACT.SpecialSpellTimer.Core,Hojoring,Method,ACT.SpecialSpellTimer.RazorModel,Hojoring,ACT.SpecialSpellTimer.RazorModel.TimelineRazorModel,get_TimelineDirectory,1,True
