consumer,containingMethod,targetType,targetApi,count
ACT.Hojoring.Updater,Costura.AssemblyLoader::ReadFromEmbeddedResources,System.Reflection.Assembly,Load,2
ACT.Hojoring.Updater,Costura.AssemblyLoader::ResolveAssembly,System.Reflection.Assembly,Load,1
ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly,GetType,3
ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly,Load,1
ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.MethodBase,Invoke,1
ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Type,GetMethod,1
ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::TryLoadAssembly,System.Reflection.Assembly,LoadFrom,1
ACT.SpecialSpellTimer,ACT.SpecialSpellTimer.Plugin::InitializePlugin,System.Reflection.Assembly,Load,1
ACT.SpecialSpellTimer,Costura.AssemblyLoader::ReadFromEmbeddedResources,System.Reflection.Assembly,Load,2
ACT.SpecialSpellTimer,Costura.AssemblyLoader::ResolveAssembly,System.Reflection.Assembly,Load,1
ACT.SpecialSpellTimer.Core,<>c__DisplayClass2_0::<SetDefaultValues>g__inheritsElement|3,System.Type,GetProperties,1
ACT.SpecialSpellTimer.Core,<>c__DisplayClass5_0::<ImportProperties>b__1,System.Type,GetProperty,1
ACT.SpecialSpellTimer.Core,<ImportProperties>d__5::MoveNext,System.Type,GetProperties,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Settings::Reset,System.Type,GetProperties,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.ViewModels.SpellPanelConfigViewModel::FirstSpell_PropertyChanged,System.Type,GetProperty,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.OptionsView::_CreateDelegate,System.Delegate,CreateDelegate,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TriggersView::_CreateDelegate,System.Delegate,CreateDelegate,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::CreateTimelineEngine,System.Reflection.Assembly,Load,2
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::GetPropertyInfo,System.Type,GetProperties,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::GetPropertyInfo,System.Type,GetProperty,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::InjectNullHtmlEncoder,System.Type,GetField,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::InjectNullHtmlEncoder,System.Type,GetFields,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::InjectNullHtmlEncoder,System.Type,GetProperties,1
ACT.SpecialSpellTimer.Core,XamlGeneratedNamespace.GeneratedInternalTypeHelper::CreateDelegate,System.Type,InvokeMember,1
ACT.SpecialSpellTimer.Core,XamlGeneratedNamespace.GeneratedInternalTypeHelper::CreateInstance,System.Activator,CreateInstance,1
ACT.SpecialSpellTimer.RazorModel,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly,GetType,3
ACT.SpecialSpellTimer.RazorModel,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly,Load,1
ACT.SpecialSpellTimer.RazorModel,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.MethodBase,Invoke,1
