consumer,containingMethod,literal,count
ACT.Hojoring.Updater,ACT.Hojoring.AtomicUpdater::ConfigureLogging,AtomicUpdater,1
ACT.Hojoring.Updater,ACT.Hojoring.AtomicUpdater::get_AppLogger,AtomicUpdater,1
ACT.Hojoring.Updater,Costura.AssemblyLoader::.cctor,costura,1
ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,Warning,1
ACT.SpecialSpellTimer.Core,<>c::<CreateExpressionsCommands>b__3_1,global,1
ACT.SpecialSpellTimer.Core,<>c::<CreateExpressionsCommands>b__3_1,name,1
ACT.SpecialSpellTimer.Core,<CallRestAsync>d__173::MoveNext,DELETE,1
ACT.SpecialSpellTimer.Core,<CallRestAsync>d__173::MoveNext,GET,2
ACT.SpecialSpellTimer.Core,<CallRestAsync>d__226::MoveNext,DELETE,1
ACT.SpecialSpellTimer.Core,<CallRestAsync>d__226::MoveNext,GET,2
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Settings::.cctor,Opacity,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Settings::.cctor,RemoveWorldName,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Settings::set_Opacity,Opacity,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Settings::set_RemoveWorldName,RemoveWorldName,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.ViewModels.TriggersViewModel::SetupTreeSource,ID,3
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.ViewModels.TriggersViewModel::SetupTreeSource,Name,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.ViewModels.TriggersViewModel::SetupTreeSource,Title,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.AddToTagView::SetupTreeSource,ID,2
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.AddToTagView::SetupTreeSource,Title,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.CopyConfigView::SetupTreeSource,ID,3
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.CopyConfigView::SetupTreeSource,Name,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.CopyConfigView::SetupTreeSource,Title,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.InformationsView::.ctor,ID,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TimelineAnalyzerView::<.ctor>b__0_0,Zone,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TimelineAnalyzerView::<get_CopyCommand>b__33_0,Log,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TimelineManagerView::.ctor,Start,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TimelineManagerView::<.ctor>b__2_2,Start,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TimelineManagerView::<get_StartTimelineCommand>b__37_0,Start,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TriggerTesterView::set_LogLine,LogLine,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TriggerTesterView::set_ZoneID,ZoneID,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.LogBuffer::IsDefeated,player,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.Spell::set_ID,ID,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.SpellPanel::SetupChildrenSource,ID,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.SpellPanel::set_Height,Height,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.SpellPanel::set_ID,ID,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.SpellPanel::set_Width,Width,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.TableCompiler::GetPlaceholders,id,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.TableCompiler::GetPlaceholders,job,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.Tag::SetupChildrenSource,ItemType,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.Tag::set_ID,ID,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.Tag::set_Name,Name,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.Ticker::set_ID,ID,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.Ticker::set_Title,Title,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Models.TriggerExtensions::.cctor,ID,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::.cctor,Attack,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::SaveToSpreadsheet,resources,2
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::StoreEffectLog,duration,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::StoreEffectLog,effect,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::StoreEffectLog,victim,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::StoreLog,UNKNOWN,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::StoreMarkerLog,id,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::StoreNewwork,id,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.CombatAnalyzer::StoreNewwork,victim,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.ISynchronizableEx::InitRegex,name,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.LogTypesExtensions::ToText,Ability,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.LogTypesExtensions::ToText,Action,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.LogTypesExtensions::ToText,Effect,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.LogTypesExtensions::ToText,Marker,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.LogTypesExtensions::ToText,UNKNOWN,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineActivityModel::Execute,duration,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineActivityModel::set_Opacity,Opacity,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineActivityModel::set_TimeText,TimeText,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineBase::set_Name,Name,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineCombatantModel::set_Action,Action,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineCombatantModel::set_Name,Name,1
ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineDumpModel::set_Log,Log,1
