id,class,consumer,site,detail,count,disposition
D0001,reflection-callsite,ACT.Hojoring.Updater,Costura.AssemblyLoader::ReadFromEmbeddedResources,System.Reflection.Assembly.Load,2,UNREVIEWED
D0002,reflection-callsite,ACT.Hojoring.Updater,Costura.AssemblyLoader::ResolveAssembly,System.Reflection.Assembly.Load,1,UNREVIEWED
D0003,reflection-callsite,ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly.Load,1,UNREVIEWED
D0004,reflection-callsite,ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly.GetType,3,UNREVIEWED
D0005,reflection-callsite,ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Type.GetMethod,1,UNREVIEWED
D0006,reflection-callsite,ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0007,reflection-callsite,ACT.SpecialSpellTimer,ACT.Hojoring.Shared.AssemblyResolver::TryLoadAssembly,System.Reflection.Assembly.LoadFrom,1,UNREVIEWED
D0008,reflection-callsite,ACT.SpecialSpellTimer,ACT.SpecialSpellTimer.Plugin::InitializePlugin,System.Reflection.Assembly.Load,1,UNREVIEWED
D0009,reflection-callsite,ACT.SpecialSpellTimer,Costura.AssemblyLoader::ReadFromEmbeddedResources,System.Reflection.Assembly.Load,2,UNREVIEWED
D0010,reflection-callsite,ACT.SpecialSpellTimer,Costura.AssemblyLoader::ResolveAssembly,System.Reflection.Assembly.Load,1,UNREVIEWED
D0011,reflection-callsite,ACT.SpecialSpellTimer.Core,<>c__DisplayClass2_0::<SetDefaultValues>g__inheritsElement|3,System.Type.GetProperties,1,UNREVIEWED
D0012,reflection-callsite,ACT.SpecialSpellTimer.Core,<>c__DisplayClass5_0::<ImportProperties>b__1,System.Type.GetProperty,1,UNREVIEWED
D0013,reflection-callsite,ACT.SpecialSpellTimer.Core,<ImportProperties>d__5::MoveNext,System.Type.GetProperties,1,UNREVIEWED
D0014,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Settings::Reset,System.Type.GetProperties,1,UNREVIEWED
D0015,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.ViewModels.SpellPanelConfigViewModel::FirstSpell_PropertyChanged,System.Type.GetProperty,1,UNREVIEWED
D0016,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.OptionsView::_CreateDelegate,System.Delegate.CreateDelegate,1,UNREVIEWED
D0017,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.Config.Views.TriggersView::_CreateDelegate,System.Delegate.CreateDelegate,1,UNREVIEWED
D0018,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::CreateTimelineEngine,System.Reflection.Assembly.Load,2,UNREVIEWED
D0019,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::GetPropertyInfo,System.Type.GetProperty,1,UNREVIEWED
D0020,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::GetPropertyInfo,System.Type.GetProperties,1,UNREVIEWED
D0021,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::InjectNullHtmlEncoder,System.Type.GetField,1,UNREVIEWED
D0022,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::InjectNullHtmlEncoder,System.Type.GetProperties,1,UNREVIEWED
D0023,reflection-callsite,ACT.SpecialSpellTimer.Core,ACT.SpecialSpellTimer.RaidTimeline.TimelineModel::InjectNullHtmlEncoder,System.Type.GetFields,1,UNREVIEWED
D0024,reflection-callsite,ACT.SpecialSpellTimer.Core,XamlGeneratedNamespace.GeneratedInternalTypeHelper::CreateDelegate,System.Type.InvokeMember,1,UNREVIEWED
D0025,reflection-callsite,ACT.SpecialSpellTimer.Core,XamlGeneratedNamespace.GeneratedInternalTypeHelper::CreateInstance,System.Activator.CreateInstance,1,UNREVIEWED
